TAG_CAT;TAG_ID;TAG_NAME;TAG_CNT;FR_ID;MAL_ID;MAL_NAME;MAL_CNT
4;788708;shiitake_(gensoudou)_(character);9;29;;;
4;789455;azuki_osamitsu_(character);9;29;;;
4;848773;toomi_chizuru;9;405888;7834;Chizuru Toomi;0
4;860879;mazoku_musume_(maoyuu);9;633768;78449;Mazoku Musume;1
4;8761;dr_norton;9;477170;;;
4;896849;tsukishima;9;1375978;;;
4;910049;yamashina_kanade;9;710567;;;
4;9125;kunugi-tan;9;8468;3783;Kunugi-tan;2
4;913267;nibelsnarf;9;376472;;;
4;925162;heavy_knight_(disgaea);9;1837;;;
4;9287;chiku-tan;9;8468;3784;Chiku-tan;1
4;938086;shiroyasha_(mondaiji);9;712095;72935;Shiroyasha;144
4;941986;seinen_shounin_(maoyuu);9;633768;76592;Seinen Shounin;2
4;952683;sayo_(digimon);9;8529;;;
4;1019980;kominato_isumi;8;1400333;;;
4;1023145;himekawa_ami;8;1234531;95317;Ami Himekawa;7
4;1030299;zhang_bao;8;;;;
4;1032350;18-volt;8;394378;;;
4;1036129;mermaid_thetis;8;12973;18727;Thetis Mermaid;2
4;1037421;rebecca_randall;8;726073;84203;Rebecca Randall;23
4;10407;senagawa_satsuki;8;271346;;;
4;10449;orimoto_kazuki;8;8931;;;
4;1064876;ishtar-san;8;;;;
4;1069219;kamishiro_touko;8;703306;;;
4;1081075;cinema_(nostalgica);8;774250;;;
4;1085691;ibuki_(neko_musume_michikusa_nikki);8;566446;;;
4;1088951;abirama_redder;8;1625;22940;Abirama Redder;1
4;1109675;amakusa_kanade;8;1465845;81219;Kanade Amakusa;132
4;111277;higashihara_nonomi;8;9676;40655;Nonomi Higashihara;0
4;11141;sf;8;11140;;;
4;1115573;miyamae_eri;8;711199;;;
4;1117680;pepen_alma;8;;;;
4;11191;shounen_bat;8;11189;2156;Shounen Bat;210
4;1121818;drum_(lamune);8;4117;;;
4;1123590;urushiba_rinka;8;763305;33265;Rinka Urushiba;106
4;11540;miyase_megumi;8;11541;;;
4;11542;fuyuki_miharu;8;682232;;;
4;1155464;anna_marie;8;14543;;;
4;1159068;jinguuji_kei;8;1292897;;;
4;1159077;celina_(fire_emblem);8;13133;;;
4;116903;chutaro;8;464822;;;
4;11770;shinjou_saori;8;393054;;;
4;1182328;maeda_kazuya;8;600803;72085;Kazuya Maeda;6
4;11926;chrysalis;8;;;;
4;1194663;kurone_(p&d);8;698622;;;
4;1200489;alfa_(ponkotsu-robo);8;;;;
4;1201030;yu-wan_(skullgirls);8;509813;;;
